typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20240101","2024","52","2024","608","PHL","Philippines","M","Import","699","IND","India","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","32682178.63","false","8","kg","32682178.63","false","32682178.63","false","32682178.63","false","48912987","45871554","48912987","0","false","true",
"C","A","20240101","2024","52","2024","608","PHL","Philippines","M","Import","704","VNM","Viet Nam","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3550040005.67","false","8","kg","3550040005.67","false","3550040005.67","false","3550040005.67","false","1811259461","1763211206","1811259461","0","false","true",
"C","A","20240101","2024","52","2024","608","PHL","Philippines","M","Import","724","ESP","Spain","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3488.55","false","8","kg","3488.55","false","3488.55","false","3488.55","false","7341","6751","7341","0","false","true",
"C","A","20240101","2024","52","2024","608","PHL","Philippines","M","Import","764","THA","Thailand","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","641837070.07","false","8","kg","641837070.07","false","641837070.07","false","641837070.07","false","328638509","319644068","328638509","0","false","true",
"C","A","20240101","2024","52","2024","702","SGP","Singapore","M","Import","0","W00","World","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","448503080","false","21","1000 KG","448503.08","false","448503080","false","0","false","341438771.549",,"341438771.549","0","false","true",
"C","A","20240101","2024","52","2024","702","SGP","Singapore","M","Import","36","AUS","Australia","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1071860","false","21","1000 KG","1071.86","false","1071860","false","0","false","1242580.138",,"1242580.138","0","false","true",
"C","A","20240101","2024","52","2024","702","SGP","Singapore","M","Import","50","BGD","Bangladesh","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","169760","false","21","1000 KG","169.76","false","169760","false","0","false","174015.267",,"174015.267","0","false","true",
"C","A","20240101","2024","52","2024","702","SGP","Singapore","M","Import","56","BEL","Belgium","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","10","false","21","1000 KG","0.01","false","10","false","0","false","27.69",,"27.69","0","false","true",
"C","A","20240101","2024","52","2024","702","SGP","Singapore","M","Import","104","MMR","Myanmar","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3248000","false","21","1000 KG","3248","false","3248000","false","0","false","1722131.863",,"1722131.863","0","false","true",
"C","A","20240101","2024","52","2024","702","SGP","Singapore","M","Import","116","KHM","Cambodia","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","11007000","false","21","1000 KG","11007","false","11007000","false","0","false","8791842.489",,"8791842.489","0","false","true",
"C","A","20240101","2024","52","2024","702","SGP","Singapore","M","Import","124","CAN","Canada","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","187460","false","21","1000 KG","187.46","false","187460","false","0","false","158818.071",,"158818.071","0","false","true",
"C","A","20240101","2024","52","2024","702","SGP","Singapore","M","Import","144","LKA","Sri Lanka","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","30230","false","21","1000 KG","30.23","false","30230","false","0","false","42283.783",,"42283.783","0","false","true",
"C","A","20240101","2024","52","2024","702","SGP","Singapore","M","Import","156","CHN","China","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","709820","false","21","1000 KG","709.82","false","709820","false","0","false","729844.089",,"729844.089","0","false","true",
"C","A","20240101","2024","52","2024","702","SGP","Singapore","M","Import","251","FRA","France","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","30","false","21","1000 KG","0.03","false","30","false","0","false","168.384",,"168.384","0","false","true",
"C","A","20240101","2024","52","2024","702","SGP","Singapore","M","Import","276","DEU","Germany","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2000","false","21","1000 KG","2","false","2000","false","0","false","2331.928",,"2331.928","0","false","true",
"C","A","20240101","2024","52","2024","702","SGP","Singapore","M","Import","300","GRC","Greece","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5530","false","21","1000 KG","5.53","false","5530","false","0","false","8808.342",,"8808.342","0","false","true",
"C","A","20240101","2024","52","2024","702","SGP","Singapore","M","Import","344","HKG","China, Hong Kong SAR","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1010","false","21","1000 KG","1.01","false","1010","false","0","false","6472.672",,"6472.672","0","false","true",
"C","A","20240101","2024","52","2024","702","SGP","Singapore","M","Import","360","IDN","Indonesia","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","440","false","21","1000 KG","0.44","false","440","false","0","false","1406.192",,"1406.192","0","false","true",
"C","A","20240101","2024","52","2024","702","SGP","Singapore","M","Import","380","ITA","Italy","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","92680","false","21","1000 KG","92.68","false","92680","false","0","false","317865.892",,"317865.892","0","false","true",
"C","A","20240101","2024","52","2024","702","SGP","Singapore","M","Import","392","JPN","Japan","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6577050","false","21","1000 KG","6577.05","false","6577050","false","0","false","9733728.138",,"9733728.138","0","false","true",
"C","A","20240101","2024","52","2024","702","SGP","Singapore","M","Import","410","KOR","Rep. of Korea","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","23050","false","21","1000 KG","23.05","false","23050","false","0","false","57072.368",,"57072.368","0","false","true",
"C","A","20240101","2024","52","2024","702","SGP","Singapore","M","Import","458","MYS","Malaysia","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","45890","false","21","1000 KG","45.89","false","45890","false","0","false","59195.5",,"59195.5","0","false","true",
"C","A","20240101","2024","52","2024","702","SGP","Singapore","M","Import","490","S19","Other Asia, nes","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2353500","false","21","1000 KG","2353.5","false","2353500","false","0","false","2404660.862",,"2404660.862","0","false","true",
"C","A","20240101","2024","52","2024","702","SGP","Singapore","M","Import","586","PAK","Pakistan","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6928700","false","21","1000 KG","6928.7","false","6928700","false","0","false","3987092.572",,"3987092.572","0","false","true",
"C","A","20240101","2024","52","2024","702","SGP","Singapore","M","Import","699","IND","India","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","158151910","false","21","1000 KG","158151.91","false","158151910","false","0","false","110903169.566",,"110903169.566","0","false","true",
"C","A","20240101","2024","52","2024","702","SGP","Singapore","M","Import","704","VNM","Viet Nam","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","143615930","false","21","1000 KG","143615.93","false","143615930","false","0","false","96466846.574",,"96466846.574","0","false","true",
"C","A","20240101","2024","52","2024","702","SGP","Singapore","M","Import","724","ESP","Spain","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","27600","false","21","1000 KG","27.6","false","27600","false","0","false","52806.646",,"52806.646","0","false","true",
"C","A","20240101","2024","52","2024","702","SGP","Singapore","M","Import","764","THA","Thailand","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","112744350","false","21","1000 KG","112744.35","false","112744350","false","0","false","103093115.936",,"103093115.936","0","false","true",
"C","A","20240101","2024","52","2024","702","SGP","Singapore","M","Import","784","ARE","United Arab Emirates","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","158950","false","21","1000 KG","158.95","false","158950","false","0","false","83042.383",,"83042.383","0","false","true",
"C","A","20240101","2024","52","2024","702","SGP","Singapore","M","Import","826","GBR","United Kingdom","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","210","false","21","1000 KG","0.21","false","210","false","0","false","356.974",,"356.974","0","false","true",
"C","A","20240101","2024","52","2024","702","SGP","Singapore","M","Import","842","USA","USA","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1350110","false","21","1000 KG","1350.11","false","1350110","false","0","false","1399087.235",,"1399087.235","0","false","true",
